"","mod.st.jan","mod.st.feb","mod.st.mar","mod.st.apr","mod.st.may","mod.st.jun","mod.st.jul","mod.st.aug","mod.st.sep","mod.st.oct","mod.st.nov","mod.st.dec","convert.code","Lat","Lon"
"4701",263.456886663581,265.149985298465,270.067121474141,277.498547855046,283.914705154884,288.22824569197,291.856559230208,291.645004705181,287.960704586062,281.862146877997,275.133685353556,268.67612550837,3,47.49897186,-87.89927993
"4792",259.262125529104,261.666430030549,271.129448778792,281.72278038125,287.676249331806,291.694254762234,293.98484861363,292.479976701051,288.79346394619,280.897099753571,272.374586686477,262.58178801147,3,47.4073654,-95.13619017
"4799",259.739009816986,261.724586554532,271.29351817156,281.318043627068,287.540632303137,291.686345330324,293.980534865479,292.374328306775,288.78556729016,280.986631408028,272.488755116204,262.832430829468,3,47.4073654,-94.49494496
"4832",265.154369322794,264.604817727065,270.919711126692,279.074713280941,284.662161639907,289.611359058942,293.279282524993,292.673776389965,287.853821580917,281.457760996367,274.945074590813,270.811519831049,3,47.4073654,-91.47193182
"4958",259.010899186725,261.773368882086,271.057430957252,281.945422287469,287.751362996933,291.820402443975,294.063753236268,292.61234648785,288.829662097579,280.966686729083,272.392094479484,262.447068170137,3,47.31575894,-95.50261601
"4959",259.080010401512,261.777457574875,271.090386610903,281.929181872963,287.752237924398,291.816493313187,294.058407876069,292.602529920812,288.825492992319,280.948611705898,272.384405122194,262.482808815021,3,47.31575894,-95.41100955
"4960",259.147801978569,261.778755158586,271.123083211567,281.908026570648,287.746438707905,291.817115611303,294.054200707583,292.591067846118,288.821586976049,280.931991463025,272.382059620431,262.521652075833,3,47.31575894,-95.31940309
"4961",259.218549225472,261.781007445174,271.151262646396,281.877068894105,287.740314781343,291.812337956507,294.051124412125,292.578958020234,288.816214371245,280.9215260425,272.386576496336,262.560636881984,3,47.31575894,-95.22779663
"4962",259.292291029787,261.779757641282,271.182851899694,281.846100872994,287.73423951581,291.809651090859,294.047800791259,292.568638246743,288.813984931289,280.917464145738,272.39501849422,262.607083273171,3,47.31575894,-95.13619017
"4963",259.368555363829,261.780384902019,271.210084975326,281.808515035849,287.72413034375,291.809948368463,294.052842219146,292.556472282069,288.812341519451,280.91814892713,272.404972854516,262.64703321215,3,47.31575894,-95.04458371
"5002",264.694567778458,264.495242799979,271.013381608782,279.287539824398,284.962265990046,289.898892620581,293.383195477627,292.708776456623,287.990621135495,281.485010646426,274.770695215225,270.160482442109,3,47.31575894,-91.47193182
"5129",259.128596619843,261.890994067215,271.138224005762,282.048169493765,287.806447866157,291.946339732623,294.140689634722,292.697427699502,288.857551989708,280.992796309552,272.418905584535,262.528607129375,3,47.22415249,-95.41100955
"5132",259.327884185715,261.900159061093,271.238266884968,281.977639265386,287.793848749873,291.930967253125,294.118269632153,292.657697065998,288.839894127123,280.942447852231,272.410428129322,262.640515102023,3,47.22415249,-95.13619017
"5171",264.012679096831,264.305200960259,271.101463907866,279.518185729969,285.291079986447,290.210400777498,293.52887187959,292.733886172998,288.114897332609,281.470142996698,274.491183186928,269.255290919787,3,47.22415249,-91.56353828
"5206",262.904040851086,264.385343428211,270.599108976238,278.69305412642,285.321510596331,289.769486693086,292.813196820271,292.145494740236,288.417271631516,281.911922009117,274.703242681928,267.611742142498,3,47.22415249,-88.35731222
"5298",259.130181467148,262.004828754296,271.151349463324,282.189200168194,287.863123262905,292.083390862086,294.24167644006,292.803402129551,288.902102832148,281.068887635315,272.470622443588,262.538263030947,3,47.13254603,-95.50261601
"5303",259.42981973434,262.014629389697,271.315905004678,282.088142440849,287.854909023935,292.046392153965,294.189035491405,292.738135714829,288.858504643882,280.953756936398,272.426548434549,262.708882991167,3,47.13254603,-95.04458371
"5305",259.556764347324,262.014312469053,271.379880696979,282.024958313843,287.856656418218,292.042227138294,294.184402835942,292.71493641347,288.853056597884,280.927998882478,272.443185944544,262.798027800847,3,47.13254603,-94.8613708
