"","mod.alb.jan","mod.alb.feb","mod.alb.mar","mod.alb.apr","mod.alb.may","mod.alb.jun","mod.alb.jul","mod.alb.aug","mod.alb.sep","mod.alb.oct","mod.alb.nov","mod.alb.dec","convert.code","Lat","Lon"
"4710",0.2554325,0.2604625,0.2128025,0.13713,0.13306,0.15298,0.1513975,0.1463525,0.1379675,0.125226666666667,0.11953,0.182016666666667,3,47.31076287,-91.51383509
"4814",0.264345,0.266835,0.2132075,0.135976666666667,0.1324175,0.15338,0.15187,0.14498,0.1349225,0.12386,0.1253625,0.1832525,3,46.90304628,-95.37492439
"4850",0.2380975,0.260735,0.21578,0.138703333333333,0.1330425,0.15302,0.1514925,0.1462475,0.1376975,0.125143333333333,0.11916,0.184846666666667,3,47.23187217,-91.60821122
"4851",0.2485475,0.2569025,0.2144675,0.13864,0.1330675,0.15302,0.1514875,0.146295,0.1378275,0.1252,0.1193975,0.16095,3,47.23928502,-91.50297427
"4884",0.26934,0.261485,0.228285,0.142213333333333,0.1341425,0.153095,0.1516275,0.147085,0.1412425,0.1274,0.12353,0.20538,3,47.43120567,-88.0163367
"4990",0.225095,0.2527475,0.21383,0.135553333333333,0.13303,0.1530625,0.15159,0.1461425,0.137445,0.12507,0.12004,0.181225,3,47.1529084,-91.70231486
"4991",0.2493075,0.2580625,0.2140125,0.1383,0.133055,0.1530625,0.151585,0.14619,0.1375725,0.125126666666667,0.120465,0.1669125,3,47.16040482,-91.59724268
"5104",0.265835,0.26623,0.2118375,0.136366666666667,0.13252,0.1533525,0.151935,0.145035,0.13501,0.12406,0.12242,0.186415,3,46.84420185,-94.51249124
"5109",0.2651725,0.2650125,0.2079,0.13354,0.1325925,0.1532825,0.15187,0.1451575,0.1352175,0.12418,0.1199625,0.1754825,3,46.89322759,-93.99193071
"5243",0.26706,0.2667325,0.211285,0.13413,0.1325075,0.15343,0.1520475,0.1449925,0.1349625,0.124036666666667,0.122665,0.1859225,3,46.75282833,-94.70553503
"5390",0.26525,0.265365,0.2080225,0.136316666666667,0.132605,0.15339,0.1520575,0.1450725,0.13509,0.124176666666667,0.12291,0.1844825,3,46.74121319,-94.06790246
"5530",0.2660125,0.26567,0.209415,0.135736666666667,0.1326,0.1534525,0.15215,0.1450275,0.135035,0.124183333333333,0.12275,0.184745,3,46.66034004,-94.15760353
"5559",0.24785,0.259315,0.21338,0.135266666666667,0.1331975,0.15321,0.1519125,0.146145,0.137535,0.125263333333333,0.1192425,0.14629,3,46.90343695,-91.13524889
"5671",0.2670125,0.26575,0.2120725,0.136346666666667,0.13261,0.1534975,0.152235,0.145015,0.1350225,0.124203333333333,0.122505,0.1878925,3,46.5891535,-94.14345595
"5701",0.224545,0.2565725,0.2148025,0.13236,0.133235,0.1532475,0.1519925,0.1461325,0.137525,0.125296666666667,0.11909,0.15066,3,46.83891556,-91.02042635
