"","mod.st.jan","mod.st.feb","mod.st.mar","mod.st.apr","mod.st.may","mod.st.jun","mod.st.jul","mod.st.aug","mod.st.sep","mod.st.oct","mod.st.nov","mod.st.dec","convert.code","Lat","Lon"
"3116",5.01405758312268,3.09286257075922,0.154952374152799,-0.78061407195986,-0.656713702743048,-1.95704989450928,-0.804843580805596,-0.360165787326423,0.348035642599541,1.11252745031788,2.17080416428013,4.68372492876625,3,48.32342999,-92.93763516
"3941",0.364533957580988,-0.019639172754637,0.411900001148183,0.775232144320967,0.728787601249962,-0.37781495048614,-0.168394709196718,-0.385764926493096,0.335467040310164,0.178943149154293,0.405383263122644,0.172009459377364,3,47.8653977,-95.22779663
"3947",1.0990999477732,0.165859819766183,0.530073673349534,0.682512768179038,0.747060856331018,-0.331601190664401,-0.104578843747731,-0.300277685666686,0.559546172432874,0.368818747709895,0.607247333194437,0.55504137171522,3,47.8653977,-94.67815788
"3995",5.38539750489821,3.51337085768523,0.37130696334026,0.551441872253122,-1.28176139942133,-1.97492582317824,-0.172474987719909,1.13635024471989,0.811404375680581,1.83803883533028,3.90239313241665,9.1448800216898,3,47.8653977,-90.28104786
"3996",5.31378162406253,3.50340648635881,0.353109148298643,0.489604839938295,-1.39746252306713,-2.03110138525227,-0.25782617480786,1.04224200343054,0.817655639166674,1.87172187674383,3.90545191691666,9.02033803241898,3,47.8653977,-90.1894414
"4129",1.4536996309468,0.537853337574063,0.52397022570608,-0.151002887175935,0.00183629121528384,-0.478179923009236,-0.212195341949098,-0.473893914675955,0.471539173011593,0.53016288751229,0.329165484328712,0.545187084416625,3,47.77379124,-93.57888037
"4330",5.36038422941897,2.95248421086109,0.472355413259265,1.03105377757714,-0.476490506238406,-1.21422820739582,0.39107662369679,1.59621128641669,1.04394795136579,1.77526969670367,3.55612034649999,8.29654283946525,3,47.68218478,-90.73908015
"4497",6.00533691200462,3.14906303846988,0.633189002842585,0.881302035740759,-0.647183652500019,-1.02885719606252,0.38546691922221,1.58792441330559,1.01525548981482,1.86552072899696,3.62796936093287,8.40900293388427,3,47.59057832,-91.01389953
"4498",5.63485215829866,2.94327809924766,0.571552406240755,0.976554696527785,-0.488121819976868,-0.98075951874074,0.429816250597241,1.64008976933798,1.09007130969439,1.82519355548766,3.51771392873849,8.08553255590516,3,47.59057832,-90.92229307
"4700",1.99252750056252,2.16224330560652,0.0376818660578238,0.70359176013892,-0.380221603449115,-1.53273491331021,-0.619604456365721,-0.0893984034954087,0.217722979182838,0.681513575746862,1.45122548656713,3.91954758338198,3,47.49897186,-87.99088639
"4701",2.35809452224765,2.20239093661576,0.0371271178333359,0.555777090432116,-0.53741142243058,-1.66439636710419,-0.670513293979127,-0.0646965265138988,0.196928250060182,0.697748274148182,1.60096119842825,4.12712280481946,3,47.49897186,-87.89927993
"4792",0.123690985381927,-0.138533566775379,0.27814782022682,0.586925054305595,0.376002262685176,-0.0196968539930253,0.0101362000277732,-0.154442437342595,0.206500998430556,0.101714224734565,0.0966884465671001,0.0495816505995208,3,47.4073654,-95.13619017
"4799",0.920636428206024,0.109226200513831,0.443293993476857,0.407241602037061,0.410314560844938,0.0241508523795915,0.0940608029166583,-0.0742533202152913,0.413518932837974,0.221535211913533,0.28070788128241,0.299348295562538,3,47.4073654,-94.49494496
"4832",6.00702817871297,3.01902651706251,0.774609745020769,0.525458828410478,-0.70203556010415,-0.836172242273108,0.366047468168972,1.34307115287498,0.738018304039372,1.67053854318209,3.46428877069212,7.96405574181944,3,47.4073654,-91.47193182
"4958",-0.395247422532407,-0.277481923564835,0.110860968583381,0.510816914814882,0.249380275277758,0.02306342677781,0.0051474988309792,-0.165454811888878,0.0554867827523253,0.111989046740746,0.00970592328468456,-0.131362838291693,3,47.31575894,-95.50261601
"4959",-0.301556790780069,-0.248577392273148,0.14360374658105,0.538737850030827,0.279943386319474,0.0253510701990649,0.0105854072685361,-0.150624389375025,0.0833821131782315,0.103433065740717,0.0113954487476917,-0.0973429285695033,3,47.31575894,-95.41100955
"4960",-0.205801776935232,-0.226465868108846,0.174105077747697,0.563264453518514,0.302368652256973,0.0342064814675496,0.0169443677870618,-0.138068152763879,0.113193471377258,0.096372976694397,0.0183810971990965,-0.0617151147685036,3,47.31575894,-95.31940309
