"","d.alb.jan","d.alb.feb","d.alb.mar","d.alb.apr","d.alb.may","d.alb.jun","d.alb.jul","d.alb.aug","d.alb.sep","d.alb.oct","d.alb.nov","d.alb.dec","convert.code","Lat","Lon"
"4537",0.055065,0.0410375,0.05498,0.0289113333333333,0.05057575,0.06566875,0.0591875,0.056559,0.05103575,0.040616,0.010413,0.024515,3,47.09809294,-94.8849587
"4538",0.05059,0.0407975,0.055085,0.0277493333333333,0.05058825,0.06565375,0.059175,0.0565815,0.05107075,0.0406393333333333,0.00761175,0.0256525,3,47.10841241,-94.78050727
"4675",0.052855,0.04212,0.0470075,0.0298106666666667,0.05055825,0.06576375,0.0593225,0.056494,0.05094575,0.040553,0.00763275,0.0212425,3,46.99552036,-95.18247207
"4680",0.0538475,0.042415,0.05369,0.028448,0.05061075,0.06568875,0.0592525,0.056579,0.05107575,0.040676,0.01001825,0.02507,3,47.04751069,-94.66107717
"4687",0.04059,0.0443925,0.05277,0.0297213333333333,0.05071075,0.06559375,0.059165,0.056804,0.05149825,0.0408736666666667,0.007307,0.0246325,3,47.11641755,-93.92950621
"4710",0.045435,0.035175,0.04265,0.0294646666666667,0.05119075,0.06544625,0.0589725,0.0578465,0.05398825,0.0419006666666667,0.0072925,0.02678,3,47.31076287,-91.51383509
"4814",0.05498,0.0440925,0.051665,0.0302946666666667,0.05054825,0.06584625,0.059445,0.056474,0.05094325,0.040546,0.01158875,0.026285,3,46.90304628,-95.37492439
"4850",0.0354175,0.035065,0.040745,0.0284546666666667,0.05117325,0.06548625,0.0590675,0.0577415,0.05371825,0.0418293333333333,0.00701,0.01677,3,47.23187217,-91.60821122
"4851",0.0485125,0.0390075,0.0403475,0.0285813333333333,0.05119825,0.06548625,0.0590625,0.057789,0.05384825,0.041809,0.00724375,0.01329,3,47.23928502,-91.50297427
"4884",0.053965,0.0380225,0.0349325,0.0273846666666667,0.05227325,0.06556125,0.0592025,0.058579,0.05726325,0.044086,0.008176,0.015755,3,47.43120567,-88.0163367
"4990",0.034265,0.03889,0.0453975,0.0293313333333333,0.05116075,0.06552875,0.059165,0.0576365,0.05346575,0.041756,0.00757575,0.0253675,3,47.1529084,-91.70231486
"4991",0.04754,0.041035,0.0417975,0.0286413333333333,0.05118575,0.06552875,0.05916,0.057684,0.05359325,0.0418126666666667,0.0077125,0.016245,3,47.16040482,-91.59724268
"5104",0.053325,0.0405525,0.0516425,0.029818,0.05065075,0.06581875,0.05951,0.056529,0.05103075,0.040746,0.006856,0.0206225,3,46.84420185,-94.51249124
"5109",0.0535475,0.039325,0.0524675,0.0296913333333333,0.05072325,0.06574875,0.059445,0.0566515,0.05123825,0.040866,0.007271,0.0271525,3,46.89322759,-93.99193071
"5243",0.05127,0.041265,0.054,0.029978,0.05063825,0.06589625,0.0596225,0.0564865,0.05098325,0.040715,0.00601400000000001,0.02411,3,46.75282833,-94.70553503
"5390",0.054185,0.039935,0.0512225,0.0297546666666667,0.05073575,0.06585625,0.0596325,0.0565665,0.05111075,0.0408626666666667,0.008621,0.024975,3,46.74121319,-94.06790246
"5530",0.05236,0.04013,0.053515,0.0294013333333333,0.05073075,0.06591875,0.059725,0.0565215,0.05105575,0.0408693333333333,0.0083085,0.0234775,3,46.66034004,-94.15760353
"5559",0.044605,0.0343025,0.0398825,0.0290113333333333,0.05132825,0.06567625,0.0594875,0.057639,0.05355575,0.0419493333333333,0.00700925,0.00149,3,46.90343695,-91.13524889
"5671",0.050815,0.0400625,0.0493625,0.0290346666666667,0.05074075,0.06596375,0.05981,0.056509,0.05104325,0.0408893333333333,0.005596,0.0192225,3,46.5891535,-94.14345595
