"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"48",3.20317531748762e-07,4.75823666901082e-07,8.52663201914719e-07,1.21717710510468e-07,5.33090879891851e-06,7.45261373991505e-06,7.14689016442912e-06,5.67923457400156e-06,4.71650338926086e-06,3.5076422488819e-06,2.00767244871307e-06,1.01615269110947e-06
"49",-2.56597327661098e-07,-3.57256498667457e-07,-6.87767175307506e-07,6.4347949633251e-08,-4.22835234856477e-06,-5.71140314563878e-06,-5.46989296146189e-06,-4.2981295617355e-06,-3.70748144059603e-06,-2.90335370826546e-06,-1.64653049963397e-06,-8.35916769883791e-07
"50",-3.72774000136502e-07,-4.93048637321592e-07,-7.97263891798604e-07,-1.26492535500964e-08,-4.83466454322767e-06,-7.49753254056672e-06,-8.6499588426683e-06,-8.17399091016754e-06,-6.00766047556638e-06,-3.23386132586903e-06,-1.5842892242989e-06,-9.07118420035862e-07
"51",-3.41958064294492e-08,-2.79525797142712e-08,-8.1741184363167e-08,1.27958655015592e-07,-4.01700376375037e-07,-4.35989176413433e-07,-4.02239243616734e-07,-3.38196432493885e-07,-3.64958968572339e-07,-3.54754550091599e-07,-2.0290141253422e-07,-1.04807358592607e-07
"52",4.84322103802031e-08,1.1310086094638e-07,9.45944132655737e-08,1.10715390877498e-07,1.6368391878719e-06,4.48502397351735e-06,5.22493549302744e-06,4.38922874948167e-06,2.23550914842003e-06,4.27294806253503e-07,2.35789787197903e-07,9.69567908196451e-08
"53",9.02794937230757e-08,1.70534541194117e-07,1.60497349773204e-07,2.00620625119099e-07,1.31408612405875e-06,2.63820094275915e-06,3.18991509651852e-06,2.99932316604108e-06,1.84573864014517e-06,5.21619573055133e-07,2.00624873508725e-07,1.40435712100257e-07
"54",7.96097647690173e-08,1.48467099132776e-07,1.41392263487155e-07,1.77046795588914e-07,1.15358847975398e-06,2.31670352499335e-06,2.80143694925307e-06,2.63391671914954e-06,1.62049463796283e-06,4.58605457643345e-07,1.75820930669034e-07,1.23564997436276e-07
"55",1.10794041875219e-07,2.09277634653191e-07,1.96967185555944e-07,2.4620898194493e-07,1.61266883173929e-06,3.23764811257583e-06,3.91472281292439e-06,3.68082428007671e-06,2.26512263389336e-06,6.40143353056819e-07,2.4620898194493e-07,1.72346287361451e-07
"56",2.80973903567954e-07,4.84323847284287e-07,8.22229036514093e-07,-1.37805281842809e-07,5.4742594532334e-06,7.7430841399236e-06,6.56608565888704e-06,4.37773911741698e-06,3.77312380003777e-06,3.16564510603811e-06,2.01638038415953e-06,9.51231932099526e-07
"57",8.22925548478353e-07,1.29972214366028e-06,1.93071229756707e-06,5.52928404621189e-07,1.29949400619917e-05,2.04900306443089e-05,2.18787271586409e-05,1.88655712903805e-05,1.37521971593465e-05,7.62647326240156e-06,4.00170376037342e-06,2.16146671952781e-06
