"","x"
"1902",1347
"1906",1348
"1910",1351
"1911",1352
"1913",1354
"1916",1357
"1917",1358
"1918",1359
"1920",1360
"1921",1361
"1922",1362
"1945",1375
"1947",1377
"1949",1378
"1950",1379
"1951",1380
"1952",1381
"1964",1392
"1967",1395
"1968",1396
"1970",1398
"1971",1399
"1972",1400
"1976",1404
"1977",1405
"1979",1407
"1981",1409
"1985",1410
"1990",1415
"1994",1419
"1995",1420
"1998",1423
"1999",1424
"2001",1426
"2002",1427
"2003",1428
"2005",1430
"2006",1431
"2030",1438
"2031",1439
"2032",1440
"2050",1457
"2051",1458
"2052",1459
"2054",1461
"2057",1464
"2058",1465
"2059",1466
"2060",1467
"2061",1468
"2062",1469
"2063",1470
"2064",1471
"2065",1472
"2078",1481
"2079",1482
"2080",1483
"2081",1484
"2083",1486
"2084",1487
"2085",1488
"2086",1489
"2087",1490
"2088",1491
"2093",1496
"2094",1497
"2095",1498
"2119",1509
"2122",1512
"2132",1521
"2136",1525
"2138",1527
"2139",1528
"2140",1529
"2141",1530
"2143",1532
"2146",1535
"2147",1536
"2148",1537
"2149",1538
"2150",1539
"2154",1540
"2155",1541
"2158",1544
"2164",1550
"2165",1551
"2166",1552
"2169",1555
"2171",1557
"2176",1562
"2177",1563
"2178",1564
"2179",1565
"2182",1568
"2207",1579
"2211",1582
"2215",1585
"2225",1595
"2228",1598
"2231",1600
"2233",1602
"2237",1606
"2239",1608
"2240",1609
"2241",1610
"2242",1611
"2246",1613
"2247",1614
"2248",1615
"2250",1616
"2251",1617
"2252",1618
"2253",1619
"2254",1620
"2258",1622
"2259",1623
"2263",1627
"2264",1628
"2266",1630
"2269",1633
"2270",1634
"2275",1639
"2280",1643
"2281",1644
"2287",1648
"2309",1655
"2315",1658
"2320",1662
"2324",1666
"2330",1672
"2331",1673
"2332",1674
"2333",1675
"2334",1676
"2336",1678
"2341",1683
"2342",1684
"2343",1685
"2344",1686
"2347",1689
"2349",1691
"2350",1692
"2352",1694
"2353",1695
"2355",1697
"2356",1698
"2357",1699
"2358",1700
"2359",1701
"2360",1702
"2361",1703
"2362",1704
"2363",1705
"2365",1707
"2368",1710
"2370",1711
"2371",1712
"2372",1713
"2373",1714
"2376",1716
"2385",1720
"2389",1724
"2426",1742
"2427",1743
"2428",1744
"2437",1753
"2439",1755
"2443",1759
"2445",1761
"2449",1765
"2450",1766
"2451",1767
"2452",1768
"2454",1770
"2455",1771
"2456",1772
"2458",1774
"2460",1776
"2461",1777
"2462",1778
"2463",1779
"2464",1780
"2465",1781
"2466",1782
"2467",1783
"2468",1784
"2470",1786
"2471",1787
"2473",1789
"2477",1792
"2479",1794
"2480",1795
"2483",1796
"2484",1797
"2485",1798
"2487",1800
"2500",1811
"2501",1812
"2505",1816
"2546",1837
"2547",1838
"2553",1844
"2555",1846
"2556",1847
"2557",1848
"2558",1849
"2559",1850
"2560",1851
"2562",1853
"2564",1855
"2565",1856
"2567",1858
"2569",1860
"2570",1861
"2571",1862
"2572",1863
"2573",1864
"2574",1865
"2575",1866
"2576",1867
"2577",1868
"2578",1869
"2579",1870
"2580",1871
"2581",1872
"2583",1874
"2584",1875
"2585",1876
"2586",1877
"2588",1879
"2589",1880
"2590",1881
"2592",1883
"2594",1885
"2595",1886
"2596",1887
"2597",1888
"2601",1892
"2604",1895
"2616",1905
"2617",1906
"2618",1907
"2619",1908
"2622",1911
"2625",1914
"2627",1915
"2667",1933
"2669",1934
"2674",1938
"2677",1941
"2678",1942
"2679",1943
"2682",1946
"2683",1947
"2687",1951
"2689",1953
"2690",1954
"2691",1955
"2692",1956
"2693",1957
"2694",1958
"2695",1959
"2697",1961
"2699",1963
"2702",1966
"2703",1967
"2704",1968
"2705",1969
"2706",1970
"2708",1972
"2709",1973
"2710",1974
"2712",1975
"2713",1976
"2714",1977
"2716",1979
"2720",1983
"2721",1984
"2722",1985
"2723",1986
"2724",1987
"2731",1993
"2737",1997
"2742",2002
"2744",2004
"2749",2009
"2752",2010
"2790",2026
"2793",2028
"2794",2029
"2795",2030
"2799",2033
"2800",2034
"2801",2035
"2802",2036
"2804",2038
"2805",2039
"2811",2045
"2812",2046
"2813",2047
"2814",2048
"2815",2049
"2816",2050
"2817",2051
"2822",2056
"2823",2057
"2824",2058
"2825",2059
"2826",2060
"2827",2061
"2828",2062
"2833",2067
"2835",2069
"2838",2070
"2839",2071
"2840",2072
"2844",2076
"2846",2078
"2847",2079
"2848",2080
"2853",2085
"2854",2086
"2855",2087
"2862",2093
"2865",2095
"2866",2096
"2872",2102
"2873",2103
"2875",2104
"2917",2117
"2918",2118
"2920",2120
"2921",2121
"2922",2122
"2923",2123
"2924",2124
"2925",2125
"2926",2126
"2927",2127
"2928",2128
"2929",2129
"2931",2131
"2932",2132
"2933",2133
"2934",2134
"2935",2135
"2936",2136
"2938",2137
"2940",2138
"2941",2139
"2943",2141
"2946",2144
"2947",2145
"2950",2148
"2958",2156
"2961",2159
"2962",2160
"2963",2161
"2967",2164
"2968",2165
"2970",2167
"2971",2168
"2972",2169
"2974",2171
"2976",2173
"2977",2174
"2979",2176
"2983",2177
"2985",2179
"2987",2181
"2994",2188
"2995",2189
"2997",2190
"2998",2191
"2999",2192
"3040",2205
"3042",2207
"3045",2210
"3047",2211
"3049",2213
"3050",2214
"3051",2215
"3054",2217
"3055",2218
"3056",2219
"3057",2220
"3058",2221
"3059",2222
"3060",2223
"3061",2224
"3063",2226
"3065",2228
"3066",2229
"3067",2230
"3068",2231
"3070",2233
"3071",2234
"3072",2235
"3073",2236
"3081",2243
"3082",2244
"3083",2245
"3084",2246
"3085",2247
"3086",2248
"3092",2253
"3093",2254
"3098",2259
"3099",2260
"3100",2261
"3101",2262
"3104",2264
"3105",2265
"3107",2267
"3108",2268
"3113",2272
"3114",2273
"3115",2274
"3117",2276
"3118",2277
"3119",2278
"3121",2280
"3123",2281
"3161",2299
"3165",2302
"3167",2304
"3171",2307
"3172",2308
"3173",2309
"3179",2315
"3181",2317
"3182",2318
"3183",2319
"3184",2320
"3185",2321
"3187",2323
"3188",2324
"3189",2325
"3191",2327
"3195",2331
"3196",2332
"3199",2335
"3201",2337
"3204",2340
"3205",2341
"3206",2342
"3207",2343
"3208",2344
"3210",2345
"3211",2346
"3213",2348
"3214",2349
"3216",2350
"3217",2351
"3219",2353
"3220",2354
"3221",2355
"3224",2358
"3226",2360
"3229",2362
"3231",2364
"3234",2367
"3237",2370
"3239",2372
"3240",2373
"3242",2375
"3285",2394
"3286",2395
"3287",2396
"3296",2404
"3302",2410
"3303",2411
"3306",2414
"3307",2415
"3309",2417
"3310",2418
"3311",2419
"3312",2420
"3314",2422
"3318",2426
"3322",2429
"3323",2430
"3324",2431
"3326",2433
"3328",2435
"3329",2436
"3332",2439
"3334",2441
"3336",2442
"3337",2443
"3338",2444
"3340",2446
"3343",2448
"3347",2452
"3353",2455
"3361",2462
"3362",2463
"3364",2465
"3366",2467
"3367",2468
"3373",2471
"3409",2485
"3410",2486
"3426",2502
"3427",2503
"3431",2507
"3432",2508
"3433",2509
"3434",2510
"3435",2511
"3437",2513
"3441",2517
"3443",2519
"3444",2520
"3447",2523
"3449",2525
"3450",2526
